时间,卫生机构数(个),医院、卫生院,卫生机构床位数(张),医院、卫生院,卫生技术人员数(人),医生
2004,4160,279,14383,13782,20238,8752
2005,4139,282,15634,14980,21998,9510
2006,4266,283,17372,16645,24443,10566
2007,4488,257,21836,20923,25091,11424
2008,4894,266,26354,23528,29491,12863
2009,4781,267,28975,25232,33081,14690
2010,5159,277,34280,29653,37237,15746
2011,5309,260,38481,33514,40914,15891
2012,5156,264,44215,38480,45817,17845
2013,5333,273,41766,36874,50217,20001
2014,5469,270,40921,36439,46892,17597
2015,5395,272,41772,37177,45936,17609
2016,5336,276,42053,37507,46446,17597
2017,5271,312,42883,37898,48282,18097
2018,5599,309,42551,37743,50093,19486
2019,5857,305,42385,37659,51661,20434
2020,5954,294,43218,38975,53896,21640
