时间,地区,生产总值
2020,芝罘区,9848191 
2020,福山区,3620164 
2020,牟平区,3206350 
2020,莱山区,3809687 
2020,蓬莱区,3703579 
2020,开发区,16722034 
2020,高新区,673163 
2020,长岛综合试验区,744597 
2020,昆嵛山保护区,34780 
2020,龙口市,10939666 
2020,莱阳市,4439876 
2020,莱州市,6740758 
2020,招远市,6975600 
2020,栖霞市,2502142 
2020,海阳市,4203639 
2019,芝罘区,9121639 
2019,福山区,2860795 
2019,牟平区,3082022 
2019,莱山区,3336348 
2019,开发区,14896690 
2019,高新区,512667 
2019,昆嵛区,30791 
2019,龙口市,10058638 
2019,莱阳市,4168456 
2019,莱州市,6508187 
2019,蓬莱市,3322878 
2019,招远市,6313853 
2019,栖霞市,2832692 
2019,海阳市,4068030 
2019,长岛县,730642 
2018,市区,34619522 
2018,市直,4915927 
2018,芝罘区,5107836 
2018,福山区,2966717 
2018,牟平区,3651397 
2018,莱山区,2800923 
2018,开发区,14846569 
2018,高新区,299973 
2018,昆嵛区,30180 
2018,龙口市,12387748 
2018,莱阳市,3983454 
2018,莱州市,8056357 
2018,蓬莱市,5362455 
2018,招远市,7808980 
2018,栖霞市,2874150 
2018,海阳市,3416723 
2018,长岛县,777959 
2017,市区,32506652
2017,市直,4620164
2017,芝罘区,4721352
2017,福山区,2802284
2017,牟平区,3440618
2017,莱山区,2596748
2017,开发区,14048101
2017,高新区,246969
2017,昆嵛区,30416
2017,龙口市,11909358
2017,莱阳市,3780751
2017,莱州市,7692502
2017,蓬莱市,4881215
2017,招远市,7400554
2017,栖霞市,2687944
2017,海阳市,3278341
2017,长岛县,713713
2016,市区,29477224
2016,市直,4197663
2016,芝罘区,4334482
2016,福山区,2594233
2016,牟平区,3183281
2016,莱山区,2368280
2016,开发区,12558719
2016,高新区,210930
2016,昆嵛区,29636
2016,龙口市,11109891.72
2016,莱阳市,3505900
2016,莱州市,7667724
2016,蓬莱市,5020136
2016,招远市,6872553
2016,栖霞市,2499652
2016,海阳市,3025781
2016,长岛县,671663
2015,市区,27333805.33
2015,市直,3893041.084
2015,芝罘区,3956591
2015,福山区,2403780.547
2015,牟平区,2946708
2015,莱山区,2174852
2015,开发区,11750924
2015,高新区,178797
2015,昆嵛区,29111.7
2015,龙口市,10413067
2015,莱阳市,3258819.54
2015,莱州市,7170480
2015,蓬莱市,4712973.087
2015,招远市,6398396
2015,栖霞市,2322255.241
2015,海阳市,2793342
2015,长岛县,624306
2014,市区,23493375 
2014,市直,3477119 
2014,芝罘区,3254629 
2014,福山区,2027297 
2014,牟平区,2512167 
2014,莱山区,1880302 
2014,开发区,10166429 
2014,高新区,148500 
2014,昆嵛区,26932 
2014,龙口市,9237061 
2014,莱阳市,2881064 
2014,莱州市,6218098 
2014,蓬莱市,4064500 
2014,招远市,5567795 
2014,栖霞市,1971243 
2014,海阳市,2443066 
2014,长岛县,548404 
2013,市区,26034567
2013,市直,4543196
2013,芝罘区,3254629
2013,福山区,2358919
2013,牟平区,2742167
2013,莱山区,2256165
2013,开发区,10704057
2013,高新区,148500
2013,昆嵛区,26933
2013,龙口市,9352322
2013,莱阳市,3031711
2013,莱州市,6426583
2013,蓬莱市,4575547
2013,招远市,6047971
2013,栖霞市,2210767
2013,海阳市,3025800
2013,长岛县,646364
2012,市区,23768036
2012,市直,4124722
2012,芝罘区,2907460
2012,福山区,2099459
2012,牟平区,2478629
2012,莱山区,2001288
2012,开发区,10000485
2012,高新区,130946
2012,昆嵛区,25049
2012,龙口市,8450429
2012,莱阳市,2815174
2012,莱州市,5787359
2012,蓬莱市,4254477
2012,招远市,5511196
2012,栖霞市,2012926
2012,海阳市,2774176
2012,长岛县,615599
2011,市区,21343623
2011,市直,3765941
2011,芝罘区,2552151
2011,福山区,1889491
2011,牟平区,2240892
2011,莱山区,1753442
2011,开发区,9000204
2011,高新区,114651
2011,昆嵛区,26851
2011,龙口市,7640670
2011,莱阳市,3326049
2011,莱州市,5277275
2011,蓬莱市,3908671
2011,招远市,5027897
2011,栖霞市,1862346
2011,海阳市,2554944
2011,长岛县,554571
2010,市区,18602672
2010,市直,3235867
2010,芝罘区,2198920
2010,福山区,1653232
2010,牟平区,2000428
2010,莱山区,1506903
2010,开发区,7911838
2010,高新区,95484
2010,昆嵛区,0
2010,龙口市,6800674
2010,莱阳市,3128309
2010,莱州市,4677857
2010,蓬莱市,3503947
2010,招远市,4529631
2010,栖霞市,1698352
2010,海阳市,2245986
2010,长岛县,500160
