,type,name1,value
0,女,0,118
1,男,0,158
2,女,1,203
3,男,1,382
4,女,2,289
5,男,2,503
6,女,3,350
7,男,3,528
8,女,4,508
9,男,4,712
10,女,5,286
11,男,5,547
12,女,6,86
13,男,6,161
14,女,7,50
15,男,7,103
16,女,8,6
17,男,8,55
18,女,9,7
19,男,9,30
20,女,10,6
21,男,10,12
22,女,11,9
23,男,11,24
24,女,12,7
25,男,12,31
26,女,13,2
27,男,13,22
28,女,14,6
29,男,14,23
30,女,15,17
31,男,15,15
32,女,16,11
33,男,16,48
34,女,17,52
35,男,17,65
36,女,18,50
37,男,18,36
38,女,19,84
39,男,19,77
40,女,20,76
41,男,20,102
42,女,21,95
43,男,21,112
44,女,22,145
45,男,22,128
46,女,23,185
47,男,23,107
48,女,24,244
49,男,24,126
50,女,25,281
51,男,25,107
52,女,26,260
53,男,26,122
54,女,27,257
55,男,27,96
56,女,28,256
57,男,28,123
58,女,29,214
59,男,29,103
60,女,30,330
61,男,30,149
62,女,31,366
63,男,31,251
64,女,32,500
65,男,32,313
66,女,33,513
67,男,33,435
68,女,34,528
69,男,34,428
70,女,35,548
71,男,35,523
72,女,36,563
73,男,36,470
74,女,37,480
75,男,37,374
76,女,38,448
77,男,38,409
78,女,39,418
79,男,39,451
80,女,40,487
81,男,40,488
82,女,41,434
83,男,41,515
84,女,42,494
85,男,42,456
86,女,43,553
87,男,43,654
88,女,44,637
89,男,44,621
90,女,45,627
91,男,45,566
92,女,46,696
93,男,46,794
94,女,47,946
95,男,47,826
96,女,48,928
97,男,48,899
98,女,49,1059
99,男,49,991
100,女,50,1154
101,男,50,1131
102,女,51,1773
103,男,51,1398
104,女,52,2015
105,男,52,1507
106,女,53,1780
107,男,53,1460
108,女,54,1831
109,男,54,1403
110,女,55,1858
111,男,55,1486
112,女,56,2469
113,男,56,1997
114,女,57,2448
115,男,57,1726
116,女,58,2508
117,男,58,1912
118,女,59,3447
119,男,59,2889
120,女,60,2390
121,男,60,1776
122,女,61,1839
123,男,61,1316
124,女,62,2537
125,男,62,1962
126,女,63,2194
127,男,63,1816
128,女,64,2795
129,男,64,2425
130,女,65,3084
131,男,65,2602
132,女,66,3027
133,男,66,2537
134,女,67,3298
135,男,67,2878
136,女,68,3016
137,男,68,2408
138,女,69,3574
139,男,69,2763
140,女,70,3762
141,男,70,2793
142,女,71,3452
143,男,71,2411
144,女,72,3258
145,男,72,2363
146,女,73,3041
147,男,73,2254
148,女,74,2624
149,男,74,2095
150,女,75,2587
151,男,75,1982
152,女,76,2475
153,男,76,1751
154,女,77,2412
155,男,77,1859
156,女,78,2029
157,男,78,1512
158,女,79,1318
159,男,79,854
160,女,80,1007
161,男,80,756
162,女,81,1228
163,男,81,819
164,女,82,1168
165,男,82,780
166,女,83,1024
167,男,83,603
168,女,84,811
169,男,84,618
170,女,85,740
171,男,85,499
172,女,86,712
173,男,86,504
174,女,87,585
175,男,87,382
176,女,88,443
177,男,88,350
178,女,89,469
179,男,89,245
180,女,90,281
181,男,90,160
182,女,91,305
183,男,91,142
184,女,92,176
185,男,92,117
186,女,93,114
187,男,93,67
188,女,94,75
189,男,94,59
190,女,95,51
191,男,95,39
192,女,96,40
193,男,96,6
194,女,97,20
195,男,97,18
196,女,98,19
197,男,98,0
198,女,99,7
199,男,99,3
200,女,100,21
201,男,100,0
202,女,101,13
203,男,101,2
204,女,102,2
205,男,102,0
206,女,103,0
207,男,103,0
208,女,104,2
209,男,104,0
210,女,105,0
211,男,105,0
212,女,106,0
213,男,106,0
214,女,107,0
215,男,107,0
216,女,108,0
217,男,108,0
218,女,109,0
219,男,109,0
220,女,110,0
221,男,110,0
222,女,111,0
223,男,111,0
224,女,112,0
225,男,112,0
226,女,113,0
227,男,113,0
228,女,114,0
229,男,114,0
230,女,115,0
231,男,115,0
232,女,116,0
233,男,116,0
234,女,117,0
235,男,117,0
236,女,118,0
237,男,118,0
238,女,119,0
239,男,119,0
