能源类别,能耗消耗,年份,CO2排放系数
煤炭消费量(万吨),43132.99,2019,1.9003
煤炭消费量(万吨),42319.48,2018,1.9003
煤炭消费量(万吨),38164.71,2017,1.9003
煤炭消费量(万吨),40939.2,2016,1.9003
煤炭消费量(万吨),40926.94,2015,1.9003
煤炭消费量(万吨),39561.73,2014,1.9003
煤炭消费量(万吨),37683.43,2013,1.9003
煤炭消费量(万吨),37178.9,2012,1.9003
煤炭消费量(万吨),36470.29,2011,1.9003
煤炭消费量(万吨),37327.89,2010,1.9003
焦炭消费量(万吨),3619.44,2019,2.8604
焦炭消费量(万吨),3509.51,2018,2.8604
焦炭消费量(万吨),3392.38,2017,2.8604
焦炭消费量(万吨),3718.36,2016,2.8604
焦炭消费量(万吨),3703.55,2015,2.8604
焦炭消费量(万吨),3761.51,2014,2.8604
焦炭消费量(万吨),3680.29,2013,2.8604
焦炭消费量(万吨),3214.83,2012,2.8604
焦炭消费量(万吨),2914.78,2011,2.8604
焦炭消费量(万吨),3067.57,2010,2.8604
原油消费量(万吨),13632.09,2019,3.0202
原油消费量(万吨),13035.46,2018,3.0202
原油消费量(万吨),11487.18,2017,3.0202
原油消费量(万吨),10203.42,2016,3.0202
原油消费量(万吨),8607.02,2015,3.0202
原油消费量(万吨),7815.9,2014,3.0202
原油消费量(万吨),6766.0,2013,3.0202
原油消费量(万吨),6288.68,2012,3.0202
原油消费量(万吨),5826.38,2011,3.0202
原油消费量(万吨),5593.41,2010,3.0202
汽油消费量(万吨),707.04,2019,2.9251
汽油消费量(万吨),690.07,2018,2.9251
汽油消费量(万吨),809.13,2017,2.9251
汽油消费量(万吨),739.35,2016,2.9251
汽油消费量(万吨),726.02,2015,2.9251
汽油消费量(万吨),705.32,2014,2.9251
汽油消费量(万吨),705.39,2013,2.9251
汽油消费量(万吨),668.97,2012,2.9251
汽油消费量(万吨),629.37,2011,2.9251
汽油消费量(万吨),802.41,2010,2.9251
煤油消费量(万吨),125.92,2019,3.0179
煤油消费量(万吨),120.26,2018,3.0179
煤油消费量(万吨),123.56,2017,3.0179
煤油消费量(万吨),115.23,2016,3.0179
煤油消费量(万吨),98.5,2015,3.0179
煤油消费量(万吨),95.08,2014,3.0179
煤油消费量(万吨),85.62,2013,3.0179
煤油消费量(万吨),78.39,2012,3.0179
煤油消费量(万吨),65.77,2011,3.0179
煤油消费量(万吨),38.62,2010,3.0179
柴油消费量(万吨),1335.93,2019,3.0959
柴油消费量(万吨),1273.74,2018,3.0959
柴油消费量(万吨),1544.47,2017,3.0959
柴油消费量(万吨),1368.78,2016,3.0959
柴油消费量(万吨),1335.26,2015,3.0959
柴油消费量(万吨),1264.62,2014,3.0959
柴油消费量(万吨),1262.9,2013,3.0959
柴油消费量(万吨),1199.27,2012,3.0959
柴油消费量(万吨),1133.4,2011,3.0959
柴油消费量(万吨),1448.14,2010,3.0959
燃料油消费量(万吨),2096.3,2019,3.1705
燃料油消费量(万吨),2376.41,2018,3.1705
燃料油消费量(万吨),4686.43,2017,3.1705
燃料油消费量(万吨),4511.42,2016,3.1705
燃料油消费量(万吨),3247.01,2015,3.1705
燃料油消费量(万吨),2472.46,2014,3.1705
燃料油消费量(万吨),2055.6,2013,3.1705
燃料油消费量(万吨),1467.15,2012,3.1705
燃料油消费量(万吨),1263.96,2011,3.1705
燃料油消费量(万吨),1286.77,2010,3.1705
天然气消费量(亿立方米),155.91,2019,21.622
天然气消费量(亿立方米),129.37,2018,21.622
天然气消费量(亿立方米),131.06,2017,21.622
天然气消费量(亿立方米),98.61,2016,21.622
天然气消费量(亿立方米),82.32,2015,21.622
天然气消费量(亿立方米),74.96,2014,21.622
天然气消费量(亿立方米),72.07,2013,21.622
天然气消费量(亿立方米),68.81,2012,21.622
天然气消费量(亿立方米),58.67,2011,21.622
天然气消费量(亿立方米),54.1,2010,21.622
