name1,name2,value
1-3年,全职,6873.477100933748
1-3年,兼职/临时,5912.213740458015
1-3年,实习,5820.0
1-3年,校园,7333.333333333333
1年以下,全职,6447.3057288712425
1年以下,兼职/临时,2812.5
1年以下,实习,4285.714285714285
1年以下,校园,4833.333333333333
不限,全职,6725.788064599707
不限,兼职/临时,3943.141592920354
不限,实习,4436.9047619047615
不限,校园,7290.425531914893
3-5年,全职,7200.94802587553
3-5年,兼职/临时,7621.818181818182
3-5年,实习,5642.857142857143
3-5年,校园,8666.666666666666
5-10年,全职,9099.752658916646
5-10年,兼职/临时,12333.333333333334
5-10年,实习,0.0
5-10年,校园,0.0
无经验,全职,6680.888030888031
无经验,兼职/临时,11818.181818181818
无经验,实习,4046.808510638298
无经验,校园,6483.333333333333
10年以上,全职,13645.402298850575
10年以上,兼职/临时,20000.0
10年以上,实习,0.0
10年以上,校园,0.0
